,state_location,zip_location,school_counts,enrollment_mean,g12_enrollment_mean,teachers_fte_mean,g12_students_retained_mean,students_SAT_ACT_mean,salaries_teachers_mean,salaries_total_mean,expenditures_nonpersonnel_mean
7179,NC,27360,3,888.0,209.0,55.0,1.0,217.0,2474164.67,3144634.0,315415.0
7180,NC,27370,2,783.0,182.0,44.0,1.0,186.0,2000994.5,2657957.5,469000.0
7181,NC,27375,1,339.0,58.0,10.0,0.0,76.0,451048.0,593880.0,112410.0
7182,NC,27379,1,828.0,193.0,52.0,2.0,175.0,2265202.0,2766734.0,364792.0
7183,NC,27401,3,617.0,145.0,47.0,4.0,126.0,2199422.0,2823375.33,506753.33
7184,NC,27405,3,820.0,187.0,43.0,3.0,181.0,1837486.33,2368453.0,646817.0
7185,NC,27406,3,848.0,199.0,52.0,1.0,194.0,2501916.0,3116856.0,388502.0
7186,NC,27407,2,742.0,156.0,52.0,8.0,142.0,2290631.5,2897120.0,313431.0
7187,NC,27408,1,1721.0,389.0,90.0,10.0,389.0,4345629.0,5203871.0,671743.0
7188,NC,27409,1,2099.0,465.0,101.0,6.0,535.0,4995859.0,5871356.0,592300.0
7189,NC,27410,2,722.0,173.0,37.0,4.0,159.0,1673134.5,2134362.5,557256.0
7190,NC,27411,2,155.0,42.0,10.0,0.0,35.0,518261.5,753897.0,315103.0
7191,NC,27412,1,205.0,51.0,12.0,0.0,46.0,590386.0,812082.0,152327.0
7192,NC,27455,1,1365.0,345.0,66.0,8.0,293.0,3262859.0,4035162.0,460357.0
7193,NC,27501,1,1537.0,382.0,86.0,13.0,326.0,3691676.0,4584236.0,819753.0
7194,NC,27502,1,2243.0,411.0,109.0,1.0,520.0,5490754.0,6862959.0,202743.0
7195,NC,27504,1,1424.0,308.0,81.0,12.0,318.0,3289667.0,3906172.0,105991.0
7196,NC,27508,1,899.0,200.0,51.0,2.0,205.0,2047188.0,2646613.0,667838.0
